Customer ID,Name,Age,Gender,City,State,Income Level (INR),Tenure (Months),Number of Activations,Number of Reactivations,Number of Cancels,Number of Products Owned,Types of Products,Average Monthly Spending (INR),Emails Sent,Calls Made,Returns,App Usage Frequency (per week),Product Events (per day),Attrition Risk
518892,Lucky Desai,74,Female,Deoghar,Rajasthan,107213,61,5,3,0,4,Doorbells,2310.91,17,13,2,47,45,No
894448,Isaac Anand,28,Female,Narasaraopet,Andhra Pradesh,41356,112,5,2,0,9,Cameras,3458.49,27,0,2,19,2,No
403543,Chakradev Chaudhari,18,Other,Hajipur,Himachal Pradesh,37256,56,4,0,1,4,"Cameras, Locks",1461.28,32,20,2,2,5,Yes
237703,Rajata Subramanian,59,Other,Sambhal,Karnataka,83965,17,5,2,2,4,"Locks, Cameras",821.78,49,1,0,6,65,Yes
197854,Abhiram Comar,24,Female,Arrah,Arunachal Pradesh,189847,65,5,3,2,1,"Doorbells, Sensors",1212.85,20,9,4,31,47,No
881637,Kavya Dugar,43,Female,Rewa,Meghalaya,55166,103,1,2,2,6,"Sensors, Doorbells, Cameras",1705.96,44,13,1,40,61,No
978560,Vidhi Sarma,20,Other,Shimoga,Sikkim,120135,29,0,0,1,8,"Sensors, Alarms",500.93,23,0,4,16,73,Yes
845482,Ekansh Kala,25,Female,Mathura,Himachal Pradesh,61830,31,5,2,0,2,Sensors,1353.52,10,12,5,23,61,Yes
747980,Gavin Gera,48,Female,Hapur,Punjab,32001,96,2,0,2,7,"Alarms, Doorbells",4391.18,23,1,5,21,52,No
710149,Hritik Soman,48,Male,Panipat,Uttar Pradesh,95398,111,1,1,0,6,Sensors,1728.28,0,8,4,33,54,No
926640,Mekhala Khanna,56,Male,Dhule,Assam,41004,25,3,0,2,1,"Cameras, Doorbells, Locks",2227.9,2,18,0,16,21,Yes
378996,Kalpit Hari,53,Female,Chinsurah,Uttarakhand,62821,78,0,1,2,8,"Doorbells, Cameras, Locks",3129.07,50,10,5,13,44,No
197530,Laban Karnik,26,Male,Tiruppur,Bihar,31982,21,2,3,2,5,"Cameras, Locks, Alarms",1071.31,46,11,1,28,49,Yes
597950,Frederick Shere,46,Other,Satara,Goa,137386,78,4,0,0,7,"Sensors, Alarms, Doorbells",1484.73,7,16,2,50,15,No
526309,Ganga Tella,28,Male,Deoghar,Assam,29570,80,5,3,2,5,"Locks, Cameras",2412.51,45,20,1,44,35,No
263745,Patrick Tandon,74,Other,Siwan,Himachal Pradesh,136085,64,3,0,1,2,"Doorbells, Sensors",2806.9,8,0,0,23,18,No
237667,Chaaya Bansal,33,Other,Hajipur,Goa,149774,95,4,2,0,5,"Alarms, Locks, Cameras",752.47,39,15,3,17,34,No
377726,Watika Mody,53,Male,Nizamabad,Manipur,141124,59,2,2,0,5,"Cameras, Sensors, Locks",3805.12,20,16,3,35,31,No
801662,Aashi Kade,69,Female,Sirsa,Himachal Pradesh,129072,81,5,3,0,9,"Locks, Sensors, Cameras",2413.52,13,19,2,50,27,No
831620,Yashoda Apte,59,Female,Bhatpara,Tamil Nadu,123206,113,5,1,0,10,"Sensors, Locks",717.91,27,12,3,0,9,No
630716,Naksh Kant,26,Other,Bhatpara,Nagaland,85852,61,0,3,1,1,Locks,3009.14,1,10,1,32,19,No
633431,Saumya Narayan,48,Other,Warangal,Punjab,182706,5,0,0,2,4,Sensors,1676.45,5,6,0,31,43,Yes
636936,Urvi Manda,23,Male,Bilaspur,Punjab,119848,65,0,2,0,6,"Doorbells, Alarms",1958.78,20,9,4,25,60,No
138860,Dipta Sarna,75,Male,Jamnagar,Mizoram,121736,115,0,3,2,4,Cameras,3466.29,42,19,2,15,77,No
313251,Reyansh Ahluwalia,38,Other,Chapra,Uttarakhand,185049,27,3,3,0,10,"Cameras, Sensors, Doorbells",3405.84,49,10,4,9,67,Yes
495661,Zilmil Anne,30,Female,Shahjahanpur,Tripura,66857,63,4,3,0,10,"Cameras, Locks, Sensors",631.44,27,14,0,20,56,No
461783,Maanav Sandhu,33,Male,Kirari Suleman Nagar,Assam,87038,39,0,0,1,3,"Cameras, Doorbells",3520.08,35,17,1,35,14,Yes
192907,Bachittar Edwin,40,Female,Medininagar,Tamil Nadu,54226,46,5,1,1,8,Cameras,2291,45,5,4,31,1,Yes
832633,Faris Sarraf,63,Female,Akola,Bihar,52918,39,3,3,2,5,"Locks, Alarms, Doorbells",1926.57,50,7,5,9,4,Yes
454978,Ekapad Anne,67,Female,Kirari Suleman Nagar,Punjab,192101,71,5,1,2,8,"Cameras, Sensors",3350.52,31,16,5,43,26,No
659145,Chaitanya Behl,68,Other,Dehradun,Mizoram,133717,50,2,3,0,3,Alarms,3298.81,13,3,4,16,44,Yes
234356,Siya Issac,66,Female,Karnal,Haryana,123798,13,2,3,1,7,"Doorbells, Alarms",1245.37,14,2,5,45,99,Yes
729404,Dayamai Varma,48,Male,Bhind,Odisha,158377,80,5,0,1,8,Cameras,3476.3,12,6,5,0,35,No
130950,Nandini Barman,28,Other,Patna,Meghalaya,137676,118,2,0,2,6,Cameras,3980.24,23,16,2,38,32,No
337567,Sudiksha Vig,21,Male,Baranagar,Karnataka,174671,72,3,0,2,9,Sensors,1896.8,15,10,0,8,72,No
256285,Dhriti Ravi,28,Male,Chittoor,Karnataka,100963,115,3,1,0,10,"Locks, Sensors, Doorbells",1589.86,17,13,2,32,4,No
470241,Ojasvi Chawla,42,Male,Rohtak,Chhattisgarh,190301,111,2,2,2,8,"Sensors, Cameras, Alarms",4541.23,3,6,4,35,69,No
841544,Bhavini Dora,54,Other,Durgapur,Andhra Pradesh,22917,64,1,0,0,6,"Cameras, Alarms, Doorbells",1938.07,9,13,2,15,84,No
735732,Udant Dey,45,Other,Bijapur,Rajasthan,82470,58,4,0,0,2,"Sensors, Cameras, Doorbells",809.29,49,11,4,39,61,No
557462,Jyoti Viswanathan,18,Male,Guntur,Manipur,81022,2,1,0,2,8,"Alarms, Locks",4173.19,20,0,2,27,1,Yes
872612,Baghyawati Gopal,20,Female,Gwalior,Meghalaya,54887,83,5,1,0,6,"Doorbells, Cameras",1740.93,3,5,1,11,0,No
555183,Owen Sant,37,Male,Imphal,Jharkhand,43104,24,3,0,1,3,Alarms,4755.35,43,13,4,48,40,Yes
147438,Reyansh Shankar,42,Male,Anand,Haryana,194126,10,3,2,1,4,Locks,1434.53,24,18,2,3,98,Yes
335492,Suhani Dugar,54,Female,Sangli-Miraj & Kupwad,Madhya Pradesh,50751,111,1,1,1,1,Cameras,4473.9,34,4,3,28,89,No
574154,Varsha Munshi,65,Female,Ahmednagar,Maharashtra,110011,103,4,2,0,3,"Cameras, Sensors",2729.9,11,11,0,46,84,No
846456,Siya Sharaf,47,Male,Kumbakonam,Tripura,39475,87,0,1,0,3,"Sensors, Cameras, Alarms",1537.41,20,2,2,14,84,No
217405,Qasim Balay,67,Other,Ambattur,Jharkhand,147348,34,1,0,0,9,"Doorbells, Alarms, Locks",1209.13,16,7,4,22,86,Yes
139204,Harinakshi Nagar,33,Female,Karnal,Madhya Pradesh,154977,107,3,3,0,2,Sensors,4056.58,19,14,5,14,12,No
640230,Radha Yadav,30,Male,Jhansi,Assam,97699,111,2,0,0,3,Cameras,1046.3,1,13,0,22,50,No
743720,Sarthak Pandey,50,Male,Rajahmundry,Manipur,177442,55,2,2,2,8,Cameras,3903.64,48,19,2,37,56,No
572266,Krishna Prashad,31,Other,Panipat,Manipur,67472,97,4,2,0,6,"Sensors, Cameras, Alarms",4638.83,30,13,3,40,62,No
992989,Turvi Sharaf,55,Female,Jamshedpur,Tamil Nadu,24266,83,4,0,1,5,"Alarms, Sensors, Doorbells",1279.6,34,10,5,35,96,No
272930,Kalpit Sahota,29,Other,Chennai,Goa,44003,24,4,1,2,7,Cameras,3815.59,41,4,1,17,66,Yes
353469,Tamanna Chander,53,Other,Dehradun,Maharashtra,95293,52,2,2,2,7,"Alarms, Sensors, Cameras",2587.26,45,3,2,0,64,Yes
843849,Odika Gandhi,37,Other,Bhilwara,Punjab,106724,48,3,1,1,7,"Locks, Cameras",1499.68,13,19,3,50,41,No
343617,Kiaan Sarin,44,Male,Chennai,West Bengal,33200,105,0,2,2,1,Alarms,4618.68,16,12,5,7,93,No
783202,Frederick Kamdar,36,Female,Rampur,Sikkim,199767,37,1,3,0,9,"Locks, Alarms, Cameras",4659.49,4,17,2,29,30,Yes
869474,Dayamai Bala,38,Other,Sirsa,Uttar Pradesh,192284,42,2,1,2,5,"Doorbells, Sensors, Locks",3219.29,25,19,5,3,63,Yes
217287,Irya Nair,52,Female,Jammu,Andhra Pradesh,141949,1,0,3,0,8,"Locks, Alarms",3718.97,47,1,4,15,34,Yes
858494,Chaitanya Dhawan,34,Male,Bhusawal,Chhattisgarh,170776,100,1,3,2,7,Sensors,1733.33,0,2,4,48,38,No
775051,Teerth Srivastava,27,Other,Avadi,Tamil Nadu,20380,74,1,2,0,1,"Locks, Cameras",851.2,34,1,3,36,88,No
337388,Kai Borde,45,Male,Vijayanagaram,Maharashtra,195555,90,1,2,0,8,Cameras,2884.2,35,1,4,0,44,No
490471,Arunima Munshi,72,Male,Durgapur,Punjab,179553,88,0,3,1,2,"Locks, Alarms",4101.03,17,2,4,16,9,No
894651,Zansi Acharya,53,Male,Aligarh,Manipur,79966,62,3,0,0,1,"Doorbells, Alarms",3279.48,19,7,5,12,54,No
730428,Turvi Banik,40,Other,Junagadh,Jharkhand,65735,13,2,0,2,10,Alarms,2981.59,31,20,2,5,72,Yes
391213,Henry Rajagopalan,25,Male,Satara,Mizoram,108074,98,1,0,1,5,"Cameras, Locks",1204.76,43,3,0,6,58,No
998268,Harshil Bala,49,Female,Baranagar,Assam,39145,91,4,2,0,7,"Sensors, Locks, Doorbells",4637.53,27,3,2,41,0,No
983354,Aayush Grover,36,Female,Sambhal,Arunachal Pradesh,32533,33,3,2,1,3,Locks,2669.38,9,13,4,27,32,Yes
514998,Maanav Mandal,33,Other,Gudivada,Madhya Pradesh,110124,33,5,0,1,1,Doorbells,3440.76,6,5,1,46,34,No
254883,Isaiah Kapur,67,Female,Panvel,Meghalaya,95903,11,2,2,0,5,"Sensors, Locks, Doorbells",1486.87,4,16,4,29,64,Yes
899489,Ryan Reddy,28,Male,Anantapuram,Jharkhand,35384,63,3,1,0,7,Cameras,3892.51,2,1,1,20,90,No
706264,Girindra Choudhry,40,Other,Chandrapur,Haryana,128269,80,3,1,2,3,Alarms,4664.17,11,20,0,7,34,No
355076,Azad Hari,24,Female,Ramgarh,Gujarat,139335,40,4,1,0,5,"Doorbells, Locks",4283.28,16,18,4,13,79,Yes
249016,Anita Soman,50,Female,Eluru,Odisha,130213,101,4,1,1,4,"Doorbells, Sensors, Alarms",1858.93,7,13,1,20,99,No
738853,Vasana Mitra,57,Female,Bulandshahr,Haryana,30664,80,0,2,1,7,"Sensors, Doorbells",2734.05,38,0,3,7,5,No
324106,Kamala Toor,74,Male,Siliguri,Rajasthan,22804,94,4,0,1,5,Sensors,1764.8,21,4,0,19,92,No
724741,Warhi Bakshi,50,Female,Ambala,Telangana,188235,100,2,3,2,4,"Alarms, Locks, Sensors",3445.05,8,9,3,30,7,No
884970,Leena Narang,20,Male,Berhampur,Mizoram,87192,29,3,1,2,5,Alarms,3807.44,48,19,3,1,71,Yes
570755,Daksh Roy,40,Other,Kottayam,Manipur,49356,101,3,2,1,2,"Cameras, Alarms, Sensors",2016.27,22,15,5,15,3,No
922460,Nikita Chaudhary,32,Male,Motihari,Rajasthan,120642,28,3,2,1,4,"Alarms, Cameras, Locks",1548.27,15,6,5,36,72,Yes
673352,Hiral Kant,42,Male,Bihar Sharif,Assam,153724,24,1,0,2,6,Locks,2785.86,35,5,4,19,34,Yes
700817,Balveer Nagi,64,Female,Pondicherry,Chhattisgarh,122135,96,5,3,0,8,"Doorbells, Sensors, Alarms",2145.19,7,12,0,49,30,No
680652,Amaira Ghose,70,Female,Jaipur,Odisha,172791,65,2,1,2,1,Sensors,1378.88,17,4,3,6,70,No
409722,Harinakshi Nazareth,70,Other,Vijayawada,Jharkhand,109063,105,3,3,0,6,"Cameras, Sensors",4063.19,6,14,0,43,69,No
166049,Charita Mutti,29,Other,Ambala,Karnataka,22087,109,4,2,1,1,Doorbells,2486.41,27,19,2,22,38,No
132687,Aayush Kumer,24,Female,Ratlam,Tripura,147160,83,4,3,0,8,"Cameras, Sensors, Locks",2342.34,28,6,2,21,91,No
472815,Dipta Bawa,68,Male,Karnal,Rajasthan,65777,20,5,0,2,4,"Doorbells, Cameras",4970.43,30,0,5,10,90,Yes
681915,Kai Tella,40,Other,Nagpur,Sikkim,124619,47,5,0,0,10,"Locks, Alarms, Cameras",4082.64,22,9,5,9,47,Yes
537939,Krisha Chandra,63,Female,Gandhidham,Chhattisgarh,185984,82,3,2,2,8,"Cameras, Locks, Doorbells",4487.68,14,15,2,9,71,No
218818,Frederick Puri,75,Female,Bokaro,Assam,22751,26,2,1,2,4,Alarms,4077.98,43,8,2,16,16,Yes
559910,Bahadurjit Yogi,25,Other,Satna,Tamil Nadu,107131,23,4,0,2,3,Cameras,4583.75,49,15,0,25,32,Yes
602134,Chakradhar Chauhan,37,Other,Jorhat,Telangana,139731,92,0,1,1,1,"Sensors, Locks, Alarms",4050.25,26,1,2,16,14,No
506054,Shivani Mishra,60,Other,Vijayawada,Bihar,186326,115,4,3,2,3,"Locks, Cameras",1910.68,4,1,3,21,52,No
883249,Jonathan Sehgal,56,Other,Indore,Odisha,56052,24,5,1,0,8,"Doorbells, Sensors, Alarms",4995.65,27,14,1,28,34,Yes
161871,Lopa Minhas,52,Other,Bardhaman,Haryana,118685,91,5,0,0,9,"Sensors, Alarms, Locks",3282.83,34,2,2,38,97,No
841663,Harinakshi Dhingra,67,Female,Berhampur,Kerala,147493,90,0,0,1,3,"Sensors, Cameras",1438.08,18,13,0,32,24,No
741573,Chanakya Choudhary,54,Female,Bettiah,Gujarat,130359,84,0,2,1,8,"Locks, Alarms, Doorbells",1085.03,18,15,2,9,70,No
701252,Lajita Mohan,28,Other,Satara,Andhra Pradesh,62483,16,0,0,0,2,"Sensors, Cameras",2880.41,20,12,4,0,91,Yes
691269,Bhavini Ramakrishnan,35,Other,Saharanpur,Jharkhand,103557,56,3,3,0,4,"Doorbells, Sensors, Cameras",580.42,24,14,0,27,68,No
802435,Girik Mahal,36,Female,Raiganj,Karnataka,173781,52,2,0,1,2,"Locks, Cameras",2514.64,22,8,5,27,11,No
159724,Praneel Raj,58,Male,Kalyan-Dombivli,Telangana,89694,62,4,2,1,6,Cameras,3976.18,5,7,5,40,55,No
553867,Bachittar Shukla,72,Male,Bangalore,Tripura,185938,68,0,2,2,8,Doorbells,1870.03,50,14,2,27,62,No
304095,Sai Naik,24,Male,Panchkula,Karnataka,142183,53,4,2,1,9,"Locks, Doorbells, Sensors",3922.06,10,8,4,43,60,No
324267,Zaitra Mody,26,Male,Gudivada,Himachal Pradesh,171905,67,4,0,0,4,"Sensors, Alarms",1500.99,13,7,1,40,57,No
883904,Balhaar Chaudhari,75,Other,Tiruvottiyur,Arunachal Pradesh,106125,72,1,3,0,6,"Doorbells, Sensors, Locks",1778.86,33,19,2,30,50,No
647341,Yashica Bera,72,Other,Bhilwara,Assam,105257,104,4,2,0,9,"Sensors, Doorbells",3571.99,44,3,2,23,83,No
689294,Ayushman Bhandari,68,Male,Lucknow,Odisha,189258,39,0,0,2,4,"Doorbells, Locks, Alarms",2952.58,32,16,2,21,8,Yes
517995,Rudra Gade,57,Female,Farrukhabad,Madhya Pradesh,150341,61,3,3,1,3,"Doorbells, Sensors",2094.6,4,8,1,35,23,No
122151,Omya Wali,62,Male,Sri Ganganagar,Madhya Pradesh,58274,45,1,1,2,9,Sensors,563.8,31,5,2,24,24,Yes
714399,Anirudh Manda,60,Male,Malda,Arunachal Pradesh,148220,37,5,2,1,10,Locks,4318.06,22,12,4,40,51,Yes
148017,Vedhika Mandal,18,Other,Mumbai,Kerala,123559,10,1,2,0,7,"Doorbells, Sensors",1803.11,29,13,0,12,91,Yes
942160,Jagrati Rama,48,Male,Farrukhabad,Mizoram,80131,66,2,0,0,7,"Locks, Sensors",3198.83,44,9,4,46,90,No
162196,Chanakya Jhaveri,35,Female,Mahbubnagar,Chhattisgarh,149920,42,0,3,1,5,Sensors,4007.76,27,11,2,15,27,Yes
227551,Osha Dewan,59,Other,Dhanbad,Rajasthan,62631,120,0,3,2,3,Doorbells,4073.15,31,6,2,27,84,No
861200,Neha Gandhi,28,Other,Jorhat,Arunachal Pradesh,161206,50,5,0,1,6,Alarms,4623.01,34,3,5,12,39,Yes
250109,Yamini Chand,54,Female,Saharanpur,Telangana,168412,112,4,3,0,7,Sensors,1384.1,30,2,1,1,70,No
860936,Geetika Venkatesh,67,Female,Haldia,Arunachal Pradesh,137369,115,1,1,2,8,"Locks, Doorbells, Cameras",3376.94,44,15,4,30,51,No
361963,Ekalinga Salvi,44,Other,Dewas,Mizoram,163874,38,0,0,1,2,"Alarms, Locks, Sensors",2317.88,49,13,4,13,85,Yes
540821,Samarth Saha,27,Other,Gaya,Manipur,163175,111,2,2,1,4,Cameras,4156.91,30,10,5,8,92,No
433060,Bhanumati Nagar,62,Female,Tadepalligudem,Punjab,163724,11,4,1,0,6,Cameras,848.69,22,8,1,40,87,Yes
973364,Deepa Dixit,23,Other,Arrah,Bihar,63512,17,5,3,0,4,"Locks, Sensors",1197.05,11,11,0,5,52,Yes
592420,Vincent Mangat,44,Female,Ajmer,Nagaland,96512,105,1,0,1,8,"Doorbells, Sensors, Alarms",4296.03,19,18,0,35,95,No
350830,Sanya Ravel,40,Other,Berhampur,Punjab,67280,21,3,2,0,6,"Cameras, Locks, Doorbells",2706.06,16,18,0,47,98,Yes
747243,Prisha Randhawa,73,Male,Mysore,Jharkhand,149651,56,5,1,0,6,Cameras,1657.33,15,4,0,13,52,No
861073,Riya Grewal,18,Female,Jamnagar,Rajasthan,104027,76,4,0,2,8,"Sensors, Locks",2013.74,45,7,2,16,30,No
293671,Jairaj Bahri,38,Other,Noida,Arunachal Pradesh,188044,31,2,0,2,4,"Sensors, Cameras, Doorbells",1323.37,26,14,2,11,79,Yes
429674,Vinaya Randhawa,41,Male,Secunderabad,Himachal Pradesh,131248,7,1,0,1,10,"Sensors, Cameras",1948.77,7,10,3,11,59,Yes
335336,Ganga Raghavan,18,Other,Dehradun,Uttarakhand,104984,9,1,0,0,7,Doorbells,1794.13,28,16,1,10,46,Yes
112049,Faris Chaudhary,75,Female,Nagercoil,Chhattisgarh,123093,105,5,0,0,8,Cameras,4317.46,26,13,4,43,81,No
460268,Oviya Bhalla,59,Male,Gopalpur,Manipur,36243,93,1,2,1,1,Cameras,2594.06,50,4,3,21,85,No
191585,Adweta Kala,47,Female,Srinagar,Rajasthan,22596,55,4,2,0,6,"Doorbells, Alarms, Cameras",2297.36,35,8,0,44,73,No
700551,Orinder Bhandari,70,Male,Meerut,Uttar Pradesh,114401,79,0,1,0,2,"Alarms, Locks",2371.92,18,14,5,8,96,No
898707,Tarak Kannan,49,Male,Junagadh,Assam,45740,69,2,3,2,3,Cameras,950.76,6,7,3,37,93,No
613231,Vanya Bose,36,Male,Thrissur,Andhra Pradesh,115589,116,5,3,1,10,Sensors,4370.91,26,7,1,2,29,No
276389,Hritik Balay,26,Other,Pondicherry,Assam,134372,65,1,2,0,7,Sensors,2219.95,1,0,4,8,45,No
687635,Champak Bava,74,Female,Tenali,Arunachal Pradesh,180012,49,0,1,2,2,"Alarms, Sensors",1634.34,29,3,4,49,85,No
195797,Widisha Dasgupta,30,Male,Jehanabad,Assam,168216,32,5,2,2,3,Sensors,4092.67,5,4,0,42,96,No
468352,Ekani Sankaran,62,Female,Surat,Manipur,131592,9,3,1,2,8,"Locks, Sensors",4274.54,17,9,5,20,35,Yes
818616,Zarna Prabhakar,34,Other,Sasaram,Uttar Pradesh,120122,53,3,3,0,2,"Alarms, Doorbells",3382.3,34,12,4,37,73,No
383773,Isaac Das,66,Male,Visakhapatnam,Odisha,82415,26,2,2,2,1,Alarms,1382.95,10,11,2,40,30,Yes
234430,Jairaj Dani,66,Male,Chandigarh,Madhya Pradesh,43369,89,0,1,0,6,"Doorbells, Cameras",2677.52,47,5,4,1,8,No
290129,Advaith Ganguly,46,Other,Shivpuri,Rajasthan,88287,46,4,1,0,4,Alarms,4641.58,24,0,5,17,20,Yes
418063,Gagan Prakash,23,Female,Coimbatore,Uttar Pradesh,128180,98,5,2,1,7,Doorbells,2003.94,17,4,3,33,6,No
580821,Anya Gaba,26,Male,Bangalore,Madhya Pradesh,30569,2,2,0,1,6,"Cameras, Alarms",538.88,9,5,4,31,31,Yes
264020,Vinaya Vaidya,27,Other,Korba,Punjab,60060,90,2,1,0,7,"Doorbells, Sensors, Locks",2617.75,30,18,2,38,59,No
929614,Saksham Wason,30,Female,Bellary,Assam,158704,24,5,2,2,1,Alarms,834.65,47,8,0,32,19,Yes
620778,Radha Patel,20,Other,Kollam,Gujarat,124020,57,2,3,0,7,Cameras,1117.52,6,14,0,28,71,No
390205,Max Naidu,38,Female,Aizawl,Kerala,134903,49,1,2,0,4,"Doorbells, Sensors",4798.34,15,3,3,37,88,No
899156,Qabil Kannan,40,Other,Howrah,Uttarakhand,159469,8,2,3,1,9,"Cameras, Sensors",4929.44,30,18,4,43,15,Yes
576237,Upma Krishnamurthy,22,Female,Eluru,Sikkim,37727,81,0,3,1,4,"Locks, Sensors, Cameras",3390.16,25,9,5,31,95,No
255554,Meghana Goswami,22,Female,Ludhiana,Karnataka,59680,103,4,0,2,4,Locks,2752.5,30,13,5,41,56,No
104628,Omaja Dani,51,Male,Ballia,Maharashtra,32752,14,0,3,2,1,"Locks, Doorbells, Sensors",2364.82,27,15,2,15,17,Yes
184909,Aahana More,54,Male,Ambattur,Sikkim,187557,33,1,1,0,2,"Alarms, Locks, Doorbells",1743.22,41,5,3,43,49,Yes
167245,Lipika Nazareth,34,Other,Pune,Arunachal Pradesh,170467,16,3,2,0,5,Locks,4399.09,32,0,1,16,17,Yes
151332,Yagnesh Chanda,22,Male,Bhilai,Odisha,53976,102,2,2,0,4,Locks,3739.41,2,12,0,18,42,No
213422,Bimala Sagar,73,Other,Bokaro,Karnataka,119654,85,0,2,1,7,Sensors,2611.53,40,6,2,4,64,No
285913,Wahab Bava,31,Male,Bongaigaon,Madhya Pradesh,38069,2,1,1,2,8,"Alarms, Doorbells, Sensors",1359.96,2,20,0,3,12,Yes
279913,Aachal Batra,60,Female,Patna,West Bengal,118736,89,0,2,2,6,Doorbells,4322.72,2,15,2,35,90,No
376628,Kashish Dutta,60,Female,Bhavnagar,Punjab,35016,86,4,3,0,7,"Alarms, Locks",2953.71,30,4,0,32,90,No
464435,Qasim Mishra,20,Male,Agartala,Odisha,190529,83,0,3,0,10,Sensors,997.47,19,18,4,4,77,No
220386,Chameli Chakrabarti,25,Other,Bhusawal,Uttarakhand,121360,41,1,3,2,2,Locks,1009.96,15,5,5,35,46,Yes
887146,Eta Doshi,44,Other,Bhind,Kerala,188491,44,4,2,2,7,"Locks, Alarms, Cameras",734.33,30,20,1,27,53,Yes
198129,Yashvi Pau,67,Other,Begusarai,Punjab,185141,108,1,2,1,4,Locks,4813.76,48,6,5,41,65,No
767996,Jeremiah Natarajan,23,Female,Bongaigaon,Manipur,126700,76,1,1,2,7,"Locks, Alarms",3378.55,46,8,5,3,95,No
605057,Jhalak Dixit,42,Male,Kolhapur,Andhra Pradesh,21712,34,3,1,2,2,"Doorbells, Alarms",3554.34,6,12,4,4,66,Yes
803205,Anjali Biswas,32,Other,Agartala,Jharkhand,29738,34,3,2,1,1,Alarms,1140.5,21,4,1,8,66,Yes
330199,Damyanti Sharaf,38,Female,Agartala,Manipur,97387,29,1,2,2,6,"Doorbells, Alarms, Cameras",2018.61,28,6,2,17,16,Yes
655261,Gaurang Bhattacharyya,70,Other,Pudukkottai,Uttarakhand,105033,43,1,1,0,8,"Cameras, Sensors, Doorbells",3989.34,48,1,3,11,100,Yes
887974,Harini Balan,75,Other,Bijapur,Meghalaya,79558,7,3,1,1,10,Locks,2141.01,0,15,2,25,47,Yes
809691,Adweta Bumb,43,Female,Ghaziabad,Uttarakhand,76607,119,3,3,1,5,"Cameras, Doorbells",1233.15,16,12,1,45,80,No
379861,Champak Doshi,33,Other,Lucknow,Himachal Pradesh,166136,104,0,0,1,7,"Locks, Doorbells",1839.47,47,17,4,10,86,No
482002,Anvi Shere,50,Male,Jamnagar,Mizoram,20983,84,4,1,2,3,"Cameras, Doorbells, Locks",3819.89,33,1,0,2,11,No
682817,Zansi Karpe,22,Female,Deoghar,Assam,32531,89,3,3,2,3,"Sensors, Alarms, Doorbells",4644.56,1,14,3,4,70,No
468331,Vihaan Peri,22,Male,Raipur,Maharashtra,167092,119,2,1,2,9,"Cameras, Alarms",4969.62,0,0,3,40,2,No
761882,Rachana Uppal,26,Other,Bhubaneswar,Telangana,34442,39,3,0,0,9,"Cameras, Sensors, Doorbells",1128.89,24,14,2,45,95,No
487642,Aarini Viswanathan,55,Female,Shimla,Mizoram,100189,100,0,0,1,6,"Doorbells, Locks",2915.65,18,6,4,9,3,No
779953,Laksh Thakur,53,Male,Ozhukarai,Telangana,81527,85,4,2,2,5,Doorbells,1706.8,2,10,0,3,57,No
439613,Jairaj Kapadia,20,Female,Rohtak,Tamil Nadu,51458,83,1,1,0,1,Cameras,1119.24,42,10,4,21,70,No
483454,Yashasvi Talwar,71,Female,Baranagar,Uttar Pradesh,165589,2,2,2,2,9,Sensors,2358.67,9,2,4,35,10,Yes
